"Index","NStudiesWithValue","NStudiesFoundWithValue","FieldValue"
1,36,1,"Accidental Fall"
2,1,1,"Active Secondary Progressive Multiple Sclerosis"
3,1,1,"Acute Exacerbation of Remitting Relapsing Multiple Sclerosis"
4,3,1,"Acute Optic Neuritis"
5,6,1,"ADHD Predominantly Inattentive Type"
6,70,1,"Adherence, Medication"
7,18,1,"Adult Disease"
8,1,1,"Advanced Multiple Sclerosis"
9,1,1,"All Multiple Sclerosis Patients"
10,1021,2,"Alzheimer Disease"
11,956,2,"Alzheimer's Disease"
12,15,1,"Ambulation Difficulty"
13,494,2,"Amyotrophic Lateral Sclerosis"
14,979,1,"Anesthesia"
15,2,1,"Anorectal Disorders"
16,3,1,"Apraxia"
17,1,1,"Aquatic"
18,1,1,"Assessment of Arm and Hand Sensorimotor Functions in Multiple Sclerosis Subjects"
19,8,2,"Autoimmune"
20,148,2,"Autoimmune Diseases"
21,1,1,"Autologous Mesenchymal Stem Cells"
22,1,1,"Autonomic Nervous System Dysfunction"
23,84,1,"Balance"
24,6,1,"Balance Disorders"
25,54,2,"Balance; Distorted"
26,23,1,"Benign Paroxysmal Positional Vertigo"
27,1,1,"Biotine"
28,15,1,"Birth Defects"
29,21,4,"Bladder Dysfunction"
30,1,1,"Bladder Dysfunction on Patients With Multiple Sclerosis"
31,2,1,"Brain Atrophy"
32,99,1,"Brain Injury"
33,7,1,"Caloric Restriction"
34,44,1,"Cannabis Use Disorder"
35,58,1,"Caregivers"
36,1,1,"Central Nervous System (CNS) Demyelinating Disease"
37,6,1,"Central Nervous System Disease"
38,6,1,"Central Neuropathic Pain"
39,1,1,"Central Neuropathic Pain in Multiple Sclerosis"
40,1,1,"Cerebelar Impairment"
41,26,1,"Cerebellar Ataxia"
42,5,1,"Cerebral Lesion"
43,701,1,"Cerebral Palsy"
44,3,1,"Chronic Cerebrospinal Venous Insufficiency"
45,10,1,"Chronic Conditions, Multiple"
46,1,1,"Chronic Dysphagia"
47,1,1,"Chronic Optic Neuropathy in Multiple Sclerosis"
48,1142,2,"Chronic Pain"
49,1,1,"Clinical Isolated Syndrome (CIS)"
50,1,1,"Clinical Isolation Syndrome of Spinal Cord"
51,32,26,"Clinically Isolated Syndrome"
52,5,3,"Clinically Isolated Syndrome (CIS)"
53,2,1,"Clinically Isolated Syndrome, CNS Demyelinating"
54,1,1,"Clinically Isolated Syndromes"
55,1,1,"Clinically Isolated System"
56,107,1,"Cognition"
57,13,1,"Cognition - Other"
58,79,3,"Cognition Disorders"
59,27,1,"Cognitive Ability, General"
60,188,3,"Cognitive Decline"
61,21,2,"Cognitive Deficits"
62,29,2,"Cognitive Disorders"
63,142,1,"Cognitive Dysfunction"
64,479,14,"Cognitive Impairment"
65,1,1,"Cognitive Impairment in Multiple Sclerosis"
66,5,1,"Cognitive Rehabilitation"
67,24,1,"Compliance, Patient"
68,377,3,"Constipation"
69,4,1,"Controls"
70,1422,2,"COVID-19"
71,215,1,"Covid-19"
72,1,1,"COVID-19 (Severe Coronavirus Disease 2019)"
73,1937,4,"Covid19"
74,14,1,"CVA"
75,65,1,"Deglutition Disorders"
76,3,1,"Demyelinating Disease"
77,3187,9,"Depression"
78,133,1,"Depression, Anxiety"
