"Index","NStudiesWithValue","NStudiesFoundWithValue","FieldValue"
1,44,2,"Albania"
2,96,3,"Algeria"
3,14,1,"Antigua and Barbuda"
4,3226,56,"Argentina"
5,8422,87,"Australia"
6,5887,80,"Austria"
7,47,3,"Bahrain"
8,309,22,"Belarus"
9,11164,153,"Belgium"
10,226,19,"Bosnia and Herzegovina"
11,8376,35,"Brazil"
12,2234,74,"Bulgaria"
13,24201,243,"Canada"
14,4,1,"Cayman Islands"
15,1838,17,"Chile"
16,22605,20,"China"
17,1591,15,"Colombia"
18,204,2,"Costa Rica"
19,1185,49,"Croatia"
20,145,1,"Cyprus"
21,1641,55,"Czech Republic"
22,3385,83,"Czechia"
23,9297,87,"Denmark"
24,199,1,"Dominican Republic"
25,6150,21,"Egypt"
26,1002,48,"Estonia"
27,3428,73,"Finland"
28,29402,292,"France"
29,479,25,"Georgia"
30,21920,255,"Germany"
31,3426,65,"Greece"
32,327,4,"Guatemala"
33,74,2,"Honduras"
34,2735,2,"Hong Kong"
35,4462,85,"Hungary"
36,4536,22,"India"
37,747,1,"Indonesia"
38,1127,20,"Iran, Islamic Republic of"
39,1902,32,"Ireland"
40,8453,93,"Israel"
41,15815,212,"Italy"
42,6691,18,"Japan"
43,322,9,"Jordan"
44,131,2,"Kazakhstan"
45,563,1,"Kenya"
46,12492,17,"Korea, Republic of"
47,137,11,"Kuwait"
48,939,30,"Latvia"
49,594,21,"Lebanon"
50,7,1,"Libyan Arab Jamahiriya"
51,1097,31,"Lithuania"
52,135,1,"Luxembourg"
53,92,5,"Macedonia, The Former Yugoslav Republic of"
54,1584,4,"Malaysia"
55,80,2,"Martinique"
56,4127,49,"Mexico"
57,238,16,"Moldova, Republic of"
58,65,1,"Monaco"
59,23,3,"Montenegro"
60,125,6,"Morocco"
61,10566,99,"Netherlands"
62,7,1,"New Caledonia"
63,2092,16,"New Zealand"
64,65,4,"North Macedonia"
65,4390,62,"Norway"
66,58,1,"Oman"
67,1348,1,"Pakistan"
68,313,5,"Panama"
69,60,1,"Paraguay"
70,1139,11,"Peru"
71,1068,3,"Philippines"
72,7751,155,"Poland"
73,2414,59,"Portugal"
74,2274,22,"Puerto Rico"
75,162,1,"Qatar"
76,2649,49,"Romania"
77,5710,127,"Russian Federation"
78,939,15,"Saudi Arabia"
79,1274,54,"Serbia"
80,2828,3,"Singapore"
81,1848,46,"Slovakia"
82,842,16,"Slovenia"
83,3043,15,"South Africa"
84,16120,179,"Spain"
85,6988,91,"Sweden"
86,7786,116,"Switzerland"
87,132,1,"Syrian Arab Republic"
88,8056,11,"Taiwan"
89,3001,8,"Thailand"
90,23,3,"Trinidad and Tobago"
91,386,11,"Tunisia"
92,7599,117,"Turkey"
93,2314,88,"Ukraine"
94,296,7,"United Arab Emirates"
95,20819,225,"United Kingdom"
96,146409,893,"United States"
97,78,1,"Uruguay"
98,177,2,"Venezuela"
99,8,1,"Virgin Islands (U.S.)"
