,Rank,NCTId,BriefTitle,SecondaryId,LeadSponsorName,LocationCountry
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,United States
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,Bulgaria
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,Canada
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,Czechia
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,Spain
42,43,NCT04879628,Proof-of-concept Study for SAR441344 in Relapsing Multiple Sclerosis,2020-004785-19|U1111-1260-3962,Sanofi,Ukraine
67,68,NCT04788615,Open Label Randomized Multicenter to Assess Efficacy & Tolerability of Ofatumumab 20mg vs. First Line DMT in RMS,2020-004505-32,Novartis Pharmaceuticals,France
67,68,NCT04788615,Open Label Randomized Multicenter to Assess Efficacy & Tolerability of Ofatumumab 20mg vs. First Line DMT in RMS,2020-004505-32,Novartis Pharmaceuticals,Germany
67,68,NCT04788615,Open Label Randomized Multicenter to Assess Efficacy & Tolerability of Ofatumumab 20mg vs. First Line DMT in RMS,2020-004505-32,Novartis Pharmaceuticals,Spain
74,75,NCT04756700,Validation of DigiCog and Konectom Tools to Support Digitalized Clinical Assessment in Multiple Sclerosis,2020-A01801-38,Biogen,France
80,81,NCT04742400,"Tolebrutinib, a Brain-penetrant Bruton s Tyrosine Kinase Inhibitor, for the Modulation of Chronically Inflamed White Matter Lesions in Multiple Sclerosis",21-N-0010,National Institute of Neurological Disorders and Stroke (NINDS),United States
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,United States
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Argentina
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Belgium
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Brazil
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Bulgaria
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Canada
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Czechia
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,Denmark
109,110,NCT04548999,"A Study to Evaluate the Efficacy, Safety and Pharmacokinetics of a Higher Dose of Ocrelizumab in Adults With Primary Progressive Multiple Sclerosis (PPMS)",2020-000894-26,Hoffmann-La Roche,France
