"Rank","LeadSponsorName","Condition"
1,"Dokuz Eylul University","Multiple Sclerosis"
2,"Francis Corazza","Multiple Sclerosis"
3,"National Institute of Mental Health (NIMH)","Multiple Sclerosis"
4,"Innodem Neurosciences","Multiple Sclerosis"
5,"Nordlandssykehuset HF","Multiple Sclerosis"
6,"Immunic AG","Multiple Sclerosis"
7,"Hospital Universitario de Canarias","Multiple Sclerosis"
8,"GeNeuro Innovation SAS","Multiple Sclerosis"
9,"University of Jordan","Multiple Sclerosis"
10,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis"
11,"Research Center for Clinical Neuroimmunology and Neuroscience Basel","Multiple Sclerosis"
12,"The Foundation for Orthopaedics and Regenerative Medicine","Multiple Sclerosis"
13,"University Hospital, Bordeaux","Multiple Sclerosis"
14,"Cairo University","Multiple Sclerosis"
15,"H. Lundbeck A/S","Multiple Sclerosis"
16,"Marmara University","Multiple Sclerosis"
17,"Marmara University","Multiple Sclerosis"
18,"University of Lincoln","Multiple Sclerosis"
19,"Nantes University Hospital","Multiple Sclerosis"
20,"Multiple Sclerosis Center of Northeastern New York","Multiple Sclerosis"
21,"University of Oslo","Multiple Sclerosis"
22,"Eling DeBruin","Multiple Sclerosis"
23,"ImStem Biotechnology","Multiple Sclerosis"
24,"State University of New York at Buffalo","Multiple Sclerosis"
25,"eSupport Health","Multiple Sclerosis"
26,"Centura Health","Multiple Sclerosis"
27,"Pipeline Therapeutics, Inc.","Multiple Sclerosis"
28,"Istanbul Sabahattin Zaim University","Multiple Sclerosis"
29,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
30,"Novartis Pharmaceuticals","Multiple Sclerosis"
31,"Uğur OVACIK","Multiple Sclerosis"
32,"Istanbul University-Cerrahpasa","Multiple Sclerosis"
33,"University of Siena","Multiple Sclerosis"
34,"National MS Center Melsbroek","Multiple Sclerosis"
35,"University of Aarhus","Multiple Sclerosis"
36,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
37,"The Cleveland Clinic","Multiple Sclerosis"
38,"Medical University of Graz","Multiple Sclerosis"
39,"Hacettepe University","Multiple Sclerosis"
40,"Dr. Stéphanie Delstanche","Multiple Sclerosis"
41,"Dr. Stéphanie Delstanche","Multiple Sclerosis"
42,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
43,"Sanofi","Multiple Sclerosis"
44,"Dr Recai Turkoglu","Multiple Sclerosis"
45,"Nantes University Hospital","Multiple Sclerosis"
46,"Novartis Pharmaceuticals","Multiple Sclerosis"
47,"Centre Hospitalier Universitaire de Nīmes","Multiple Sclerosis"
48,"Centre Hospitalier Universitaire de Nice","Multiple Sclerosis"
49,"Hasselt University","Multiple Sclerosis"
50,"NYU Langone Health","Multiple Sclerosis"
51,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
52,"NYU Langone Health","Multiple Sclerosis"
53,"Medical University of Vienna","Multiple Sclerosis"
54,"Gazi University","Multiple Sclerosis"
55,"University Hospital, Strasbourg, France","Multiple Sclerosis"
56,"Lille Catholic University","Multiple Sclerosis"
57,"Lille Catholic University","Multiple Sclerosis"
58,"Jena University Hospital","Multiple Sclerosis"
59,"Hadassah Medical Organization","Multiple Sclerosis"
60,"University Hospital, Rouen","Multiple Sclerosis"
61,"University of Jordan","Multiple Sclerosis"
62,"Charles University, Czech Republic","Multiple Sclerosis"
63,"Lille Catholic University","Multiple Sclerosis"
64,"Lille Catholic University","Multiple Sclerosis"
65,"Providence Health & Services","Multiple Sclerosis"
66,"Centre Hospitalier Universitaire de Saint Etienne","Multiple Sclerosis"
67,"Boston Children's Hospital","Multiple Sclerosis"
68,"Novartis Pharmaceuticals","Multiple Sclerosis"
69,"University of Cyprus","Multiple Sclerosis"
70,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
71,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
72,"Medical Valley Digital Health Application Center GmbH","Multiple Sclerosis"
73,"Johns Hopkins University","Multiple Sclerosis"
74,"University of Miami","Multiple Sclerosis"
75,"Biogen","Multiple Sclerosis"
76,"University of Colorado, Denver","Multiple Sclerosis"
77,"Istanbul University-Cerrahpasa","Multiple Sclerosis"
78,"University of Virginia","Multiple Sclerosis"
79,"University of Zurich","Multiple Sclerosis"
80,"Istanbul University-Cerrahpasa","Multiple Sclerosis"
81,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
82,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
83,"Pipeline Therapeutics, Inc.","Multiple Sclerosis"
84,"Istanbul Aydın University","Multiple Sclerosis"
85,"University of Liege","Multiple Sclerosis"
86,"Marquette University","Multiple Sclerosis"
87,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
88,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
89,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
90,"Association de Recherche Bibliographique pour les Neurosciences","Multiple Sclerosis"
91,"Massachusetts General Hospital","Multiple Sclerosis"
92,"Rennes University Hospital","Multiple Sclerosis"
93,"European Society for Blood and Marrow Transplantation","Multiple Sclerosis"
94,"University Medicine Greifswald","Multiple Sclerosis"
95,"Kamila Řasová","Multiple Sclerosis"
96,"University of Colorado, Denver","Multiple Sclerosis"
97,"Claudio Gobbi","Multiple Sclerosis"
98,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
99,"University of Colorado, Denver","Multiple Sclerosis"
100,"Turku University Hospital","Multiple Sclerosis"
101,"Centre Hospitalier Universitaire de Nice","Multiple Sclerosis"
102,"Aránzazu Vázquez Doce","Multiple Sclerosis"
103,"University of Virginia","Multiple Sclerosis"
104,"National University of Natural Medicine","Multiple Sclerosis"
105,"NYU Langone Health","Multiple Sclerosis"
106,"Suhayl Dhib-Jalbut, MD","Multiple Sclerosis"
107,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis"
108,"University of Michigan","Multiple Sclerosis"
109,"Keith Edwards, M.D.","Multiple Sclerosis"
110,"Hoffmann-La Roche","Multiple Sclerosis"
111,"Gazi University","Multiple Sclerosis"
112,"Gazi University","Multiple Sclerosis"
113,"Gazi University","Multiple Sclerosis"
114,"University of Colorado, Denver","Multiple Sclerosis"
115,"Gazi University","Multiple Sclerosis"
116,"Hoffmann-La Roche","Multiple Sclerosis"
117,"Novartis Pharmaceuticals","Multiple Sclerosis"
118,"HuniLife Biotechnology, Inc.","Multiple Sclerosis"
119,"Hasselt University","Multiple Sclerosis"
120,"Institut National de la Santé Et de la Recherche Médicale, France","Multiple Sclerosis"
121,"Lama Saad El-Din Mahmoud","Multiple Sclerosis"
122,"Ruijin Hospital","Multiple Sclerosis"
123,"University of Alabama at Birmingham","Multiple Sclerosis"
124,"The Leeds Teaching Hospitals NHS Trust","Multiple Sclerosis"
125,"Rennes University Hospital","Multiple Sclerosis"
126,"Zoé van Kempen","Multiple Sclerosis"
127,"University of Wisconsin, Madison","Multiple Sclerosis"
128,"Washington University School of Medicine","Multiple Sclerosis"
129,"University of Alabama at Birmingham","Multiple Sclerosis"
130,"Neurohabilitation Corporation","Multiple Sclerosis"
131,"The Cleveland Clinic","Multiple Sclerosis"
132,"Queen Mary University of London","Multiple Sclerosis"
133,"Medical University of Vienna","Multiple Sclerosis"
134,"Istanbul Aydın University","Multiple Sclerosis"
135,"Novartis Pharmaceuticals","Multiple Sclerosis"
136,"GeNeuro Innovation SAS","Multiple Sclerosis"
137,"VU University Medical Center","Multiple Sclerosis"
138,"University of British Columbia","Multiple Sclerosis"
139,"University of Michigan","Multiple Sclerosis"
140,"Universidad Católica San Antonio de Murcia","Multiple Sclerosis"
141,"NYU Langone Health","Multiple Sclerosis"
142,"Azienda Ospedaliera Universitaria Integrata Verona","Multiple Sclerosis"
143,"University of Washington","Multiple Sclerosis"
144,"Berry College","Multiple Sclerosis"
145,"Istanbul University","Multiple Sclerosis"
146,"Research Center for Clinical Neuroimmunology and Neuroscience Basel","Multiple Sclerosis"
147,"Sanofi","Multiple Sclerosis"
148,"Charles University, Czech Republic","Multiple Sclerosis"
149,"University of Oklahoma","Multiple Sclerosis"
150,"University of Iowa","Multiple Sclerosis"
151,"Brain Health Alliance","Multiple Sclerosis"
152,"Charles University, Czech Republic","Multiple Sclerosis"
153,"University of Erlangen-Nürnberg","Multiple Sclerosis"
154,"I.R.C.C.S. Fondazione Santa Lucia","Multiple Sclerosis"
155,"Bayer","Multiple Sclerosis"
156,"Klinik Valens","Multiple Sclerosis"
157,"Charles University, Czech Republic","Multiple Sclerosis"
158,"Cristina García-Bravo","Multiple Sclerosis"
159,"Karolinska Institutet","Multiple Sclerosis"
160,"Glasgow Caledonian University","Multiple Sclerosis"
161,"Monica Ulivelli","Multiple Sclerosis"
162,"University of Washington","Multiple Sclerosis"
163,"Assiut University","Multiple Sclerosis"
164,"National Multiple Sclerosis Center","Multiple Sclerosis"
165,"IRCCS San Raffaele","Multiple Sclerosis"
166,"Central Hospital, Nancy, France","Multiple Sclerosis"
167,"BeCare Link LLC","Multiple Sclerosis"
168,"The Leeds Teaching Hospitals NHS Trust","Multiple Sclerosis"
169,"BeCare Link LLC","Multiple Sclerosis"
170,"Sunnybrook Health Sciences Centre","Multiple Sclerosis"
171,"Universidad Católica San Antonio de Murcia","Multiple Sclerosis"
172,"University of Ottawa","Multiple Sclerosis"
173,"Pôle Saint Hélier","Multiple Sclerosis"
174,"Emory University","Multiple Sclerosis"
175,"Universidad de Granada","Multiple Sclerosis"
176,"Istanbul University-Cerrahpasa","Multiple Sclerosis"
177,"University Hospital, Grenoble","Multiple Sclerosis"
178,"Turku University Hospital","Multiple Sclerosis"
179,"Rennes University Hospital","Multiple Sclerosis"
180,"Massachusetts General Hospital","Multiple Sclerosis"
181,"Haute Ecole de Santé Vaud","Multiple Sclerosis"
182,"Cairo University","Multiple Sclerosis"
183,"Imam Abdulrahman Bin Faisal University","Multiple Sclerosis"
184,"Mansoura University Hospital","Multiple Sclerosis"
185,"St. Petersburg State Pavlov Medical University","Multiple Sclerosis"
186,"Hacettepe University","Multiple Sclerosis"
187,"Hasselt University","Multiple Sclerosis"
188,"Gazi University","Multiple Sclerosis"
189,"Marmara University","Multiple Sclerosis"
190,"Hacettepe University","Multiple Sclerosis"
191,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
192,"Istanbul University-Cerrahpasa","Multiple Sclerosis"
193,"Sanofi","Multiple Sclerosis"
194,"San Camillo Hospital, Rome","Multiple Sclerosis"
195,"Hasselt University","Multiple Sclerosis"
196,"Mansoura University Hospital","Multiple Sclerosis"
197,"Lawson Health Research Institute","Multiple Sclerosis"
198,"Johns Hopkins University","Multiple Sclerosis"
199,"Oregon Health and Science University","Multiple Sclerosis"
200,"Biogen","Multiple Sclerosis"
201,"Brigham and Women's Hospital","Multiple Sclerosis"
202,"Hasselt University","Multiple Sclerosis"
203,"Hasselt University","Multiple Sclerosis"
204,"Celgene","Multiple Sclerosis"
205,"Fondazione Italiana Sclerosi Multipla","Multiple Sclerosis"
206,"Suleyman Demirel University","Multiple Sclerosis"
207,"University Hospital, Toulouse","Multiple Sclerosis"
208,"Massachusetts General Hospital","Multiple Sclerosis"
209,"Turku University Hospital","Multiple Sclerosis"
210,"Dokuz Eylul University","Multiple Sclerosis"
211,"Petros Dinas","Multiple Sclerosis"
212,"Biogen","Multiple Sclerosis"
213,"Shared Decision Making Resources","Multiple Sclerosis"
214,"University of Limerick","Multiple Sclerosis"
215,"University Hospital, Caen","Multiple Sclerosis"
216,"Winston Salem State University","Multiple Sclerosis"
217,"Holy Name Medical Center, Inc.","Multiple Sclerosis"
218,"Assiut University","Multiple Sclerosis"
219,"IRCCS San Raffaele","Multiple Sclerosis"
220,"Griffin Hospital","Multiple Sclerosis"
221,"University Hospital, Limoges","Multiple Sclerosis"
222,"St. Joseph's Hospital and Medical Center, Phoenix","Multiple Sclerosis"
223,"University Hospital Muenster","Multiple Sclerosis"
224,"Istanbul Physical Medicine Rehabilitation Training and Research Hospital","Multiple Sclerosis"
225,"Hoffmann-La Roche","Multiple Sclerosis"
226,"Carmel Medical Center","Multiple Sclerosis"
